Longitude,Latitude,Hour,Date,Location,Full_Time
-73.916812154,40.638689107,15,12/07/2016,OUTSIDE,15:02:00
-73.947619211,40.799086317,1,12/09/2016,INSIDE,01:50:00
-73.952858808,40.703807407,0,12/11/2016,OUTSIDE,00:20:00
-73.802651938,40.669758105999996,12,12/11/2016,INSIDE,12:22:00
-73.907462791,40.845984791,20,12/11/2016,OUTSIDE,20:29:00
-73.915067287,40.679066318000004,18,12/13/2016,OUTSIDE,18:21:00
-73.892228964,40.820986429,20,12/13/2016,INSIDE,20:45:00
-73.944367164,40.809413199,18,12/14/2016,OUTSIDE,18:45:00
-73.98482044,40.753874924,2,12/17/2016,OUTSIDE,02:20:00
-73.92905355,40.65758692,15,12/18/2016,INSIDE,15:31:00
-73.936765755,40.806617895,18,12/19/2016,INSIDE,18:00:00
-73.888139806,40.83987167,20,12/20/2016,OUTSIDE,20:24:00
-73.929804249,40.646328278,12,12/25/2016,OUTSIDE,12:51:00
-74.080755533,40.624236771999996,12,12/26/2016,OUTSIDE,12:45:00
-73.948294253,40.832111106,8,12/26/2016,INSIDE,08:14:00
-73.948294253,40.832111106,8,12/26/2016,INSIDE,08:14:00
-73.9101166,40.837321839,0,12/30/2016,OUTSIDE,00:40:00
-73.955752145,40.648265282,1,12/31/2016,INSIDE,01:05:00
