CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,LOC_OF_OCCUR_DESC,Latitude,Longitude
08/02/2015,01:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.821889599,-73.859261922
08/01/2015,01:39:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.634383905,-73.922711878
07/26/2015,05:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.871248594,-73.836989315
07/25/2015,08:23:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.659416981,-73.90860103
07/25/2015,05:11:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.667576169,-73.907295763
07/24/2015,09:11:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.815669885,-73.936569294
07/23/2015,16:32:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.709469433,-73.940136643
07/23/2015,16:07:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.842445074,-73.912198673
07/23/2015,16:07:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.842445074,-73.912198673
07/23/2015,08:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.816068266,-73.908552085
07/22/2015,03:10:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.683798638,-73.9618905
07/19/2015,23:17:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.722653586,-73.840433734
07/19/2015,07:01:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.615326201,-74.099496139
07/19/2015,00:48:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.844258872,-73.881062904
07/18/2015,21:30:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.636982025,-73.976192508
07/18/2015,02:29:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.665043245,-73.892134878
07/17/2015,21:18:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.666090679,-73.877365046
07/17/2015,20:55:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.900260645,-73.845451432
07/16/2015,15:20:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.825258992,-73.92579269
07/15/2015,00:50:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.636376964,-73.9615825
07/14/2015,20:52:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.853598367,-73.900576881
07/13/2015,23:18:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.789295058,-73.94031405
07/13/2015,17:42:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.663056548,-73.923641048
07/13/2015,02:31:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.639005167,-73.957858926
07/09/2015,20:30:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.808374236,-73.926996358
07/08/2015,09:35:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.875121011,-73.908995183
07/07/2015,13:20:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.838424184,-73.866530759
07/07/2015,03:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.679163198,-73.890093056
07/05/2015,05:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.887313634,-73.847271758
07/04/2015,03:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.675727746,-73.921495901
07/03/2015,23:04:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.690330592,-73.940954341
07/03/2015,05:08:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.826828682,-73.9253465
07/01/2015,22:25:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.652697872,-73.962841673
06/29/2015,22:46:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.829884885,-73.936761711
06/29/2015,00:21:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.682148913,-73.927408555
06/28/2015,00:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.672789843,-73.773651622
06/27/2015,00:05:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.796790443,-73.939404406
06/26/2015,21:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.862365981,-73.892545127
03/17/2014,12:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.648060922,-73.946371991
06/25/2015,19:26:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.822758665,-73.910483129
06/25/2015,02:28:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.840541616,-73.862923277
06/22/2015,00:02:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.579780195,-73.998424655
10/17/2014,21:45:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.719840334,-73.962400198
06/20/2015,06:20:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.769265486,-73.933086319
06/18/2015,12:35:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.799455636,-73.966436613
10/27/2014,15:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.834825825,-73.915977882
06/14/2015,01:05:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.718120384,-73.957430126
06/13/2015,04:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.655244,-73.959780431
06/12/2015,01:18:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.671337101,-73.936450606
06/10/2015,23:42:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.668883767,-73.932505719
06/10/2015,18:49:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.670167427,-73.930993992
06/10/2015,15:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.700601637,-73.854566254
06/09/2015,22:52:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.856032809,-73.888448814
06/08/2015,21:47:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.647330127,-73.896999556
06/07/2015,15:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.887042546,-73.854129463
06/06/2015,04:33:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.788721243,-73.939996774
06/03/2015,21:40:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.672296411,-73.929405609
06/02/2015,15:20:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.683466804,-73.948514066
06/02/2015,06:46:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.69528791,-73.814570615
05/30/2015,19:37:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.660118772,-73.914608435
05/30/2015,18:46:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.60324305,-73.760526804
05/30/2015,03:58:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.669838101,-73.914693322
05/30/2015,03:41:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.842979335,-73.914579729
05/30/2015,02:38:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.755443005,-73.943423246
05/30/2015,01:25:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.812699137,-73.921619736
05/29/2015,23:20:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.850367293,-73.917255894
05/29/2015,18:32:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.854068298,-73.915049873
05/28/2015,21:48:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.638277737,-74.07879081
05/27/2015,15:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.679670066,-73.936136211
05/26/2015,23:17:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.597318554,-73.985374556
05/26/2015,21:28:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.636593652,-73.961131996
05/26/2015,02:19:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.677605279,-73.82821878
05/25/2015,20:58:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.67135982,-73.881811023
05/22/2015,03:47:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.689453173,-73.955122632
05/24/2015,13:29:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.685784842,-73.867795388
05/23/2015,19:22:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.836266064,-73.911328663
05/22/2015,08:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.833336302,-73.917161436
05/20/2015,09:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.865841192,-73.895999497
05/19/2015,12:16:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.708869585,-73.942600717
05/18/2015,18:27:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.699650446,-73.938316997
05/18/2015,03:45:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.749755161,-73.985615392
05/17/2015,04:05:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.709186497,-73.819156071
05/13/2015,09:42:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.675146162,-73.918003234
05/12/2015,23:42:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.786500727,-73.945466039
05/11/2015,22:55:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.639441225,-74.11769574
05/11/2015,21:06:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.649272421,-73.928165066
05/11/2015,12:01:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.866012164,-73.867339484
05/10/2015,05:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.6449136,-73.937383848
05/10/2015,04:14:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.865359586,-73.918278482
05/10/2015,02:59:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.63231069,-74.111763767
05/09/2015,12:43:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.689572726,-73.796376725
05/08/2015,02:22:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.799008797,-73.952408541
05/07/2015,06:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.673446427,-73.902968791
05/05/2015,14:23:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.748794048,-73.873040688
05/02/2015,18:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.711037871,-73.745812281
04/29/2015,12:33:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.689529839,-73.781956874
04/19/2015,04:25:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.709296246,-73.775482638
